time,frequency,confidence
0.000,663.304,0.073909
0.010,661.415,0.729016
0.020,662.443,0.916425
0.030,662.747,0.918736
0.040,661.257,0.942835
0.050,660.718,0.938299
0.060,659.174,0.926318
0.070,659.688,0.908683
0.080,660.614,0.874562
0.090,661.827,0.897047
0.100,663.562,0.898732
0.110,662.044,0.915352
0.120,661.580,0.847758
0.130,660.057,0.863597
0.140,659.624,0.916647
0.150,660.320,0.925851
0.160,661.811,0.937051
0.170,662.385,0.938316
0.180,661.111,0.952328
0.190,661.597,0.935046
0.200,662.199,0.922702
0.210,662.290,0.901909
0.220,662.918,0.831074
0.230,662.042,0.701006
0.240,659.702,0.604392
0.250,663.836,0.302846
0.260,551.860,0.269820
0.270,548.486,0.069084
0.280,324.107,0.243254
0.290,663.571,0.188608
0.300,330.216,0.508586
0.310,665.697,0.625285
0.320,664.658,0.868882
0.330,661.852,0.883885
0.340,661.633,0.918113
0.350,662.434,0.939570
0.360,660.760,0.948661
0.370,659.844,0.939944
0.380,660.086,0.938711
0.390,660.148,0.940226
0.400,660.863,0.952740
0.410,660.561,0.950123
0.420,660.040,0.951583
0.430,660.300,0.941241
0.440,660.526,0.939596
0.450,660.817,0.939217
0.460,660.448,0.932014
0.470,662.649,0.795796
0.480,630.860,0.398084
0.490,623.571,0.794228
0.500,623.977,0.921157
0.510,622.702,0.932338
0.520,623.675,0.958804
0.530,623.867,0.964067
0.540,624.322,0.957762
0.550,624.308,0.950253
0.560,623.500,0.927141
0.570,623.246,0.930567
0.580,623.529,0.934280
0.590,623.373,0.940084
0.600,623.425,0.940143
0.610,622.836,0.933913
0.620,622.720,0.916060
0.630,623.843,0.934247
0.640,623.642,0.936069
0.650,623.331,0.942197
0.660,623.657,0.947090
0.670,623.218,0.934055
0.680,623.306,0.932082
0.690,623.502,0.910919
0.700,624.242,0.918196
0.710,623.904,0.877125
0.720,624.192,0.864945
0.730,622.218,0.751536
0.740,622.532,0.769461
0.750,624.378,0.817405
0.760,625.320,0.832358
0.770,626.104,0.878957
0.780,623.787,0.768822
0.790,622.644,0.587420
0.800,652.233,0.524755
0.810,645.614,0.529763
0.820,626.669,0.727179
0.830,625.847,0.698076
0.840,625.132,0.644451
0.850,624.174,0.499088
0.860,627.228,0.497290
0.870,639.866,0.221842
0.880,644.218,0.200091
0.890,318.702,0.481934
0.900,312.729,0.744481
0.910,310.611,0.715433
0.920,619.870,0.729862
0.930,622.924,0.830418
0.940,626.367,0.829352
0.950,627.551,0.825902
0.960,626.347,0.874857
0.970,627.690,0.822281
0.980,626.324,0.841324
0.990,628.499,0.832930
1.000,627.370,0.761412
1.010,623.023,0.793097
1.020,621.806,0.857606
1.030,621.924,0.903376
1.040,622.856,0.934482
1.050,623.141,0.863095
1.060,623.103,0.795878
1.070,625.099,0.887633
1.080,627.984,0.832078
1.090,629.440,0.727360
1.100,628.063,0.558855
1.110,630.275,0.408061
1.120,656.796,0.647964
1.130,628.615,0.625085
1.140,625.517,0.838042
1.150,624.905,0.913463
