time,frequency,confidence
0.000,349.157,0.804715
0.010,349.938,0.924101
0.020,350.069,0.967325
0.030,349.952,0.979463
0.040,349.962,0.979441
0.050,349.962,0.979818
0.060,349.921,0.979465
0.070,349.874,0.979751
0.080,349.801,0.979790
0.090,349.824,0.979643
0.100,349.782,0.979518
0.110,349.739,0.979467
0.120,349.679,0.979238
0.130,349.710,0.979130
0.140,349.657,0.979086
0.150,349.613,0.975191
0.160,349.357,0.963741
0.170,349.504,0.932193
0.180,350.111,0.878181
0.190,351.212,0.808832
0.200,351.232,0.747190
0.210,352.503,0.642596
0.220,274.082,0.293476
0.230,264.508,0.640643
0.240,263.342,0.874396
0.250,262.770,0.934831
0.260,261.994,0.954423
0.270,261.929,0.961537
0.280,261.764,0.963226
0.290,261.874,0.968802
0.300,262.084,0.964843
0.310,262.212,0.968190
0.320,262.239,0.969937
0.330,261.981,0.967275
0.340,261.781,0.965486
0.350,261.531,0.961285
0.360,261.462,0.961948
0.370,261.268,0.955696
0.380,261.351,0.957614
0.390,261.598,0.961279
0.400,261.671,0.962831
0.410,261.596,0.961505
0.420,261.732,0.964751
0.430,261.770,0.963205
0.440,261.751,0.967532
0.450,261.811,0.968740
0.460,261.637,0.968989
0.470,261.606,0.966901
0.480,261.602,0.965237
0.490,261.675,0.969970
0.500,261.777,0.970492
0.510,261.781,0.970702
0.520,261.767,0.969440
0.530,261.783,0.970548
0.540,261.902,0.973732
0.550,261.962,0.973684
0.560,262.038,0.971446
0.570,261.933,0.973150
0.580,262.041,0.973003
0.590,261.911,0.973289
0.600,261.911,0.971079
0.610,261.777,0.968589
0.620,261.840,0.970843
0.630,261.806,0.971362
0.640,261.834,0.969557
0.650,261.857,0.969402
0.660,261.817,0.969361
0.670,261.871,0.972240
0.680,261.860,0.969383
0.690,261.807,0.968782
0.700,261.691,0.969066
0.710,261.814,0.970915
0.720,261.689,0.967994
0.730,261.765,0.968728
0.740,261.688,0.966017
0.750,261.689,0.968715
0.760,261.741,0.966347
0.770,261.697,0.966524
0.780,261.753,0.967992
0.790,261.695,0.966338
0.800,261.751,0.969355
0.810,261.795,0.967409
0.820,261.771,0.967777
0.830,261.736,0.967753
0.840,261.800,0.968214
0.850,261.867,0.968354
0.860,261.774,0.968353
0.870,261.727,0.964729
0.880,261.635,0.965969
0.890,261.754,0.965685
0.900,261.718,0.965512
0.910,261.634,0.965148
0.920,261.642,0.963142
0.930,261.615,0.965257
0.940,261.751,0.965623
0.950,261.580,0.962516
