time,frequency,confidence
0.000,440.916,0.539625
0.010,441.062,0.287669
0.020,439.659,0.290796
0.030,219.657,0.470811
0.040,219.453,0.613561
0.050,219.605,0.712584
0.060,219.630,0.720024
0.070,219.672,0.786759
0.080,219.675,0.792144
0.090,219.732,0.857722
0.100,219.911,0.905358
0.110,219.898,0.917802
0.120,219.799,0.919353
0.130,219.869,0.917448
0.140,219.835,0.922416
0.150,220.139,0.948293
0.160,220.174,0.953158
0.170,220.179,0.952186
0.180,220.010,0.946491
0.190,220.006,0.946968
0.200,220.034,0.956959
0.210,220.082,0.958782
0.220,220.019,0.954612
0.230,219.915,0.945611
0.240,220.002,0.951881
0.250,219.964,0.956430
0.260,220.019,0.957100
0.270,219.935,0.953679
0.280,219.885,0.946991
0.290,219.889,0.944322
0.300,220.094,0.937268
0.310,219.840,0.878597
0.320,219.181,0.729034
0.330,196.756,0.548630
0.340,196.860,0.729558
0.350,196.516,0.778748
0.360,195.854,0.804460
0.370,196.517,0.822797
0.380,196.510,0.762043
0.390,196.372,0.778058
0.400,195.979,0.733783
0.410,196.014,0.797481
0.420,196.311,0.746163
0.430,196.013,0.753442
0.440,196.139,0.747075
0.450,196.234,0.840672
0.460,196.588,0.839850
0.470,196.460,0.911532
0.480,196.530,0.902436
0.490,196.192,0.918550
0.500,196.400,0.927228
0.510,196.266,0.935403
0.520,196.205,0.933124
0.530,196.167,0.931924
0.540,196.179,0.932324
0.550,196.175,0.939707
0.560,196.178,0.939156
0.570,196.059,0.930445
0.580,196.157,0.930949
0.590,196.129,0.931253
0.600,196.273,0.936793
0.610,196.094,0.922791
0.620,196.123,0.911276
0.630,195.987,0.902721
0.640,196.059,0.900236
0.650,195.397,0.831374
0.660,192.085,0.359664
0.670,175.620,0.743651
0.680,174.380,0.862884
0.690,174.778,0.841447
0.700,175.061,0.813537
0.710,175.761,0.862894
0.720,174.664,0.847776
0.730,174.519,0.835465
0.740,175.130,0.863777
0.750,175.252,0.895008
0.760,174.781,0.924856
0.770,174.337,0.911769
0.780,174.444,0.908151
0.790,174.861,0.917318
0.800,174.798,0.933241
0.810,174.494,0.930652
0.820,174.351,0.927499
0.830,174.608,0.933040
0.840,174.662,0.935756
0.850,174.636,0.940513
0.860,174.481,0.934677
0.870,174.510,0.934539
0.880,174.557,0.936861
0.890,174.546,0.939755
0.900,174.573,0.937083
0.910,174.525,0.932486
0.920,174.447,0.930325
0.930,174.463,0.937335
0.940,174.509,0.933152
0.950,174.528,0.929531
0.960,174.397,0.925638
0.970,174.476,0.936671
0.980,174.560,0.938418
0.990,174.642,0.935937
1.000,174.548,0.930787
1.010,174.526,0.938842
1.020,174.590,0.942465
1.030,174.576,0.937376
1.040,174.536,0.929708
1.050,174.472,0.930630
1.060,174.450,0.931408
1.070,174.529,0.875050
1.080,174.450,0.637463
1.090,174.599,0.354083
1.100,130.204,0.584594
1.110,130.621,0.674198
1.120,130.772,0.770645
1.130,130.918,0.781785
1.140,130.962,0.819812
1.150,130.743,0.851036
1.160,130.623,0.850775
1.170,130.702,0.853964
1.180,130.767,0.876869
1.190,131.027,0.902119
1.200,131.094,0.913226
1.210,131.081,0.927853
1.220,131.029,0.924782
1.230,130.923,0.923099
1.240,130.930,0.929288
1.250,131.071,0.930353
1.260,131.097,0.941578
1.270,131.125,0.948076
1.280,130.969,0.944242
1.290,130.964,0.950473
1.300,131.075,0.947595
1.310,131.039,0.948867
1.320,130.881,0.945655
1.330,130.780,0.936484
1.340,130.870,0.949613
1.350,130.870,0.943094
1.360,130.974,0.951132
1.370,131.017,0.954940
1.380,130.917,0.944881
1.390,130.924,0.953646
1.400,131.026,0.951659
1.410,130.791,0.947635
1.420,130.831,0.953480
1.430,131.007,0.955005
1.440,130.955,0.954311
