time,frequency,confidence
0.000,983.718,0.378889
0.010,486.253,0.644263
0.020,475.881,0.650503
0.030,470.057,0.862244
0.040,469.025,0.906711
0.050,471.774,0.832810
0.060,483.476,0.747674
0.070,489.890,0.869323
0.080,491.484,0.834025
0.090,493.729,0.447220
0.100,530.752,0.316711
0.110,530.388,0.746510
0.120,525.009,0.691901
0.130,522.137,0.522389
0.140,525.983,0.271552
0.150,488.313,0.214127
0.160,447.856,0.208798
0.170,454.055,0.439711
0.180,459.271,0.698302
0.190,461.210,0.848541
0.200,462.774,0.921324
0.210,464.010,0.664518
0.220,234.565,0.735718
0.230,236.362,0.779422
0.240,240.301,0.797759
0.250,241.825,0.900424
0.260,241.198,0.931154
0.270,241.529,0.962746
0.280,242.028,0.976664
0.290,242.638,0.977700
0.300,243.446,0.958332
0.310,244.398,0.961372
0.320,244.924,0.970071
0.330,245.433,0.962174
0.340,245.785,0.953843
0.350,246.370,0.923731
0.360,246.677,0.940515
0.370,247.153,0.952402
0.380,247.453,0.955268
0.390,247.660,0.953926
0.400,247.587,0.956418
0.410,247.187,0.949847
0.420,246.754,0.933648
0.430,246.355,0.929831
0.440,245.907,0.951818
0.450,245.150,0.964843
0.460,245.010,0.958764
0.470,245.159,0.957043
0.480,245.803,0.946222
0.490,246.213,0.939294
0.500,246.783,0.939921
0.510,247.281,0.951628
0.520,247.689,0.949527
0.530,247.920,0.946959
0.540,248.272,0.939092
0.550,248.467,0.934376
0.560,248.480,0.936574
0.570,248.269,0.945846
0.580,247.791,0.950783
0.590,247.438,0.952147
0.600,246.834,0.944577
0.610,246.200,0.942059
0.620,245.396,0.963712
0.630,244.566,0.953008
0.640,244.071,0.933367
0.650,244.331,0.942899
0.660,244.497,0.956389
0.670,244.769,0.960208
0.680,244.677,0.950782
0.690,245.256,0.954394
0.700,246.225,0.930410
0.710,247.018,0.938261
0.720,247.641,0.945780
0.730,248.236,0.946473
0.740,248.875,0.923049
0.750,249.022,0.919537
0.760,248.837,0.933394
0.770,248.354,0.948861
0.780,247.752,0.958597
0.790,246.991,0.946562
0.800,246.218,0.935100
0.810,244.855,0.951489
0.820,243.423,0.941415
0.830,243.224,0.935326
0.840,243.995,0.914028
0.850,244.447,0.945591
0.860,244.636,0.953052
0.870,245.210,0.950144
0.880,245.990,0.938143
0.890,247.095,0.935475
0.900,247.922,0.943083
0.910,248.612,0.923797
0.920,249.291,0.932140
0.930,249.648,0.945126
0.940,249.411,0.944654
0.950,248.987,0.922880
0.960,248.526,0.945864
0.970,248.168,0.954422
0.980,247.861,0.959116
0.990,247.346,0.955750
1.000,246.550,0.920297
1.010,245.629,0.954304
1.020,244.988,0.959855
1.030,244.802,0.955960
1.040,245.099,0.952285
1.050,245.259,0.952620
1.060,245.867,0.935193
1.070,246.342,0.915285
1.080,247.145,0.929780
1.090,247.770,0.939016
1.100,248.289,0.931997
1.110,248.617,0.919730
1.120,248.701,0.921745
1.130,248.625,0.932107
1.140,248.596,0.936542
1.150,248.468,0.941948
1.160,248.249,0.948263
1.170,247.760,0.953460
1.180,247.178,0.942737
1.190,246.424,0.920356
1.200,245.517,0.955252
1.210,245.098,0.952606
1.220,244.880,0.940067
1.230,245.602,0.918931
1.240,246.244,0.900411
1.250,247.014,0.925302
1.260,247.750,0.939819
1.270,248.410,0.926605
1.280,248.891,0.905159
1.290,249.176,0.914227
1.300,249.359,0.932660
1.310,249.483,0.938938
1.320,249.510,0.946183
1.330,249.417,0.940410
1.340,249.243,0.940630
1.350,248.822,0.929219
1.360,248.349,0.943596
1.370,247.740,0.950440
1.380,247.040,0.935345
1.390,246.120,0.925380
1.400,245.614,0.948758
1.410,245.552,0.954019
1.420,245.779,0.946460
1.430,246.166,0.916074
1.440,246.824,0.902452
1.450,247.081,0.916273
1.460,247.508,0.922841
1.470,247.719,0.934379
1.480,248.141,0.929616
1.490,248.467,0.925074
1.500,248.791,0.914511
1.510,248.972,0.912889
1.520,249.217,0.923052
1.530,249.366,0.934712
1.540,249.469,0.935173
1.550,249.416,0.938448
1.560,249.428,0.934695
1.570,249.478,0.940391
1.580,249.616,0.941291
1.590,249.755,0.949293
1.600,249.906,0.949564
1.610,250.034,0.955514
1.620,250.160,0.956418
1.630,250.326,0.960647
1.640,250.393,0.961520
1.650,250.436,0.963315
1.660,250.386,0.963299
1.670,250.419,0.963144
1.680,250.402,0.962934
1.690,250.372,0.962156
1.700,250.211,0.961659
1.710,249.902,0.955853
1.720,249.689,0.954612
1.730,249.465,0.948363
1.740,249.863,0.939143
1.750,251.090,0.895964
1.760,253.324,0.778346
1.770,254.477,0.408742
1.780,264.550,0.301622
1.790,218.641,0.332555
1.800,219.903,0.736751
1.810,220.369,0.879019
1.820,220.606,0.926996
1.830,220.523,0.950152
1.840,220.491,0.953082
1.850,220.500,0.948687
1.860,220.592,0.952049
1.870,220.485,0.946318
1.880,220.426,0.953486
1.890,220.457,0.961613
1.900,220.436,0.960079
1.910,220.231,0.954548
1.920,220.132,0.950161
1.930,220.134,0.951694
1.940,220.134,0.951528
1.950,220.170,0.953950
1.960,219.977,0.946013
1.970,219.911,0.936218
1.980,219.823,0.938121
1.990,219.763,0.936099
2.000,219.600,0.923791
2.010,219.361,0.907815
2.020,219.473,0.900478
2.030,219.485,0.904724
2.040,219.560,0.911275
2.050,219.586,0.912125
2.060,219.629,0.911856
2.070,219.772,0.921236
2.080,219.845,0.930525
2.090,219.826,0.933848
2.100,219.979,0.943627
2.110,220.000,0.946429
2.120,220.062,0.947288
2.130,220.077,0.946805
2.140,219.988,0.945829
2.150,220.152,0.950124
2.160,220.174,0.952442
2.170,220.183,0.950444
2.180,220.127,0.947421
2.190,219.965,0.942773
2.200,219.995,0.943427
2.210,219.919,0.941818
2.220,219.888,0.936446
2.230,219.835,0.934494
2.240,219.739,0.929282
2.250,219.822,0.935206
2.260,219.797,0.937257
2.270,219.847,0.938071
2.280,219.957,0.945924
2.290,220.030,0.951566
2.300,220.280,0.960166
2.310,220.301,0.960804
2.320,220.330,0.959284
2.330,220.401,0.961420
2.340,220.502,0.964242
2.350,220.718,0.966792
2.360,220.631,0.966323
2.370,220.579,0.961546
2.380,220.509,0.963736
2.390,220.463,0.963949
2.400,220.545,0.965485
2.410,220.465,0.965727
2.420,220.505,0.965771
2.430,220.448,0.963867
2.440,220.499,0.962827
2.450,220.533,0.957034
2.460,220.701,0.960700
2.470,221.194,0.948193
2.480,221.629,0.908639
2.490,222.029,0.902149
2.500,221.970,0.873906
2.510,221.410,0.829903
2.520,220.552,0.545793
2.530,247.603,0.533639
2.540,246.593,0.777014
2.550,246.290,0.876752
2.560,246.374,0.913783
2.570,246.399,0.920168
2.580,246.726,0.932349
2.590,247.192,0.951996
2.600,247.159,0.954155
2.610,247.006,0.952986
2.620,246.853,0.949202
2.630,246.711,0.946027
2.640,246.619,0.935901
2.650,246.425,0.933086
2.660,246.353,0.930583
2.670,246.530,0.931381
2.680,246.819,0.940721
2.690,246.837,0.943201
2.700,246.952,0.945449
2.710,246.780,0.940259
2.720,246.976,0.947656
2.730,247.030,0.948267
2.740,247.207,0.952271
2.750,247.144,0.950092
2.760,247.272,0.954860
2.770,246.981,0.947762
2.780,246.859,0.947173
2.790,246.655,0.936679
2.800,246.388,0.936774
2.810,246.193,0.944772
2.820,246.188,0.943755
2.830,246.472,0.924448
2.840,246.616,0.939175
2.850,246.671,0.940713
2.860,246.542,0.934080
2.870,246.431,0.930202
2.880,245.965,0.949473
2.890,245.869,0.950826
2.900,245.826,0.947096
2.910,246.048,0.944451
2.920,245.993,0.947047
2.930,246.229,0.944383
2.940,246.423,0.933324
2.950,246.423,0.938632
2.960,246.429,0.927671
2.970,246.358,0.931581
2.980,246.284,0.937689
2.990,245.660,0.958745
3.000,245.206,0.959396
3.010,244.507,0.944690
3.020,244.456,0.937266
