time,frequency,confidence
0.000,747.898,0.581156
0.010,747.501,0.745422
0.020,746.699,0.791063
0.030,747.226,0.816766
0.040,747.180,0.810574
0.050,748.034,0.797423
0.060,748.942,0.814117
0.070,749.454,0.824514
0.080,749.445,0.819769
0.090,748.214,0.829890
0.100,746.089,0.868572
0.110,745.127,0.880302
0.120,745.511,0.881083
0.130,746.811,0.878731
0.140,747.914,0.894748
0.150,748.023,0.890689
0.160,746.231,0.888435
0.170,745.329,0.904640
0.180,744.904,0.919202
0.190,745.109,0.923176
0.200,745.378,0.922879
0.210,745.406,0.921312
0.220,745.411,0.924078
0.230,745.802,0.922026
0.240,746.009,0.919527
0.250,746.290,0.914532
0.260,745.986,0.914757
0.270,746.331,0.908477
0.280,746.173,0.907408
0.290,746.339,0.909253
0.300,746.200,0.912047
0.310,746.404,0.907279
0.320,746.366,0.905633
0.330,746.659,0.898844
0.340,746.725,0.898586
0.350,746.798,0.897667
0.360,746.569,0.900468
0.370,746.701,0.899831
0.380,746.437,0.904580
0.390,746.443,0.905659
0.400,746.219,0.909038
0.410,746.380,0.905612
0.420,746.146,0.909825
0.430,746.242,0.911520
0.440,745.960,0.914211
0.450,746.158,0.913596
0.460,746.035,0.918113
0.470,746.150,0.915670
0.480,745.894,0.916089
0.490,746.102,0.913648
0.500,746.015,0.913051
0.510,746.183,0.909483
0.520,746.124,0.909842
0.530,746.646,0.902871
0.540,746.851,0.902664
0.550,747.415,0.904887
0.560,747.364,0.903680
0.570,747.504,0.906319
0.580,747.229,0.904533
0.590,747.250,0.903118
0.600,746.882,0.902138
0.610,747.014,0.900182
0.620,746.984,0.899893
0.630,747.204,0.897298
0.640,747.035,0.900535
0.650,747.471,0.900540
0.660,747.529,0.904717
0.670,747.689,0.909050
0.680,747.039,0.903940
0.690,746.973,0.904551
0.700,746.658,0.911474
0.710,746.546,0.913217
0.720,746.162,0.919628
0.730,746.403,0.914979
0.740,746.337,0.916346
0.750,746.775,0.910204
0.760,746.711,0.913960
0.770,746.828,0.915353
0.780,746.476,0.924037
0.790,745.844,0.933638
0.800,744.895,0.939753
0.810,744.466,0.938587
0.820,744.240,0.927925
0.830,744.830,0.910588
0.840,748.727,0.838904
0.850,753.039,0.850963
0.860,755.840,0.826556
0.870,756.841,0.713645
0.880,771.367,0.656525
0.890,782.439,0.857530
0.900,784.638,0.912933
0.910,784.755,0.915946
0.920,783.155,0.888804
0.930,783.533,0.884047
0.940,784.363,0.914073
0.950,784.970,0.935742
0.960,785.852,0.932318
0.970,787.431,0.927651
0.980,787.394,0.933410
0.990,788.202,0.936508
1.000,788.271,0.937335
1.010,788.774,0.938831
1.020,788.472,0.939445
1.030,788.622,0.940091
1.040,788.197,0.943138
1.050,787.303,0.948083
1.060,786.326,0.953610
1.070,785.325,0.954992
1.080,784.832,0.953276
1.090,784.692,0.953386
1.100,784.645,0.956434
1.110,784.773,0.956589
1.120,784.719,0.954670
1.130,784.982,0.953344
1.140,785.092,0.954754
1.150,785.059,0.957302
1.160,784.969,0.957378
1.170,784.861,0.958156
1.180,784.868,0.958344
1.190,784.697,0.958127
1.200,784.480,0.955526
1.210,784.664,0.954143
1.220,784.672,0.954162
1.230,783.647,0.943722
1.240,780.721,0.932563
1.250,777.226,0.931034
1.260,776.294,0.933378
1.270,774.918,0.923628
1.280,775.364,0.922372
1.290,777.904,0.913893
1.300,778.860,0.893478
1.310,777.255,0.854298
1.320,775.390,0.819803
1.330,775.612,0.859913
1.340,773.734,0.816409
1.350,771.742,0.727155
1.360,764.402,0.642731
1.370,755.904,0.843233
1.380,750.433,0.851981
1.390,746.631,0.867766
1.400,749.383,0.897578
1.410,745.524,0.905082
1.420,746.402,0.896127
1.430,746.711,0.895698
1.440,745.265,0.909443
1.450,746.882,0.894555
1.460,745.399,0.913964
1.470,745.458,0.914544
1.480,746.537,0.900517
1.490,745.002,0.920251
1.500,745.851,0.910725
1.510,746.021,0.910728
1.520,745.711,0.915143
1.530,746.329,0.907445
1.540,745.920,0.912265
1.550,745.651,0.918102
1.560,746.370,0.908422
1.570,745.549,0.920878
1.580,745.829,0.914969
1.590,745.996,0.912475
1.600,745.970,0.913356
1.610,746.278,0.906327
1.620,746.295,0.908701
1.630,746.130,0.912148
1.640,746.495,0.906602
1.650,746.148,0.916367
1.660,745.949,0.917171
1.670,745.847,0.923709
1.680,745.086,0.933203
