time,frequency,confidence
0.000,743.662,0.856251
0.010,743.173,0.910802
0.020,742.459,0.916266
0.030,742.012,0.912639
0.040,742.184,0.909538
0.050,742.311,0.907753
0.060,742.381,0.909189
0.070,742.467,0.906019
0.080,742.270,0.906719
0.090,742.129,0.905003
0.100,741.870,0.907777
0.110,741.596,0.909605
0.120,741.268,0.907474
0.130,741.090,0.908310
0.140,741.171,0.906672
0.150,741.052,0.907056
0.160,741.065,0.904001
0.170,740.969,0.900592
0.180,740.611,0.895458
0.190,740.291,0.884370
0.200,739.688,0.885961
0.210,739.973,0.907107
0.220,740.453,0.925828
0.230,741.644,0.936549
0.240,742.564,0.936512
0.250,742.681,0.922088
0.260,741.861,0.908170
0.270,740.470,0.904791
0.280,740.620,0.918351
0.290,742.170,0.925772
0.300,743.407,0.927199
0.310,742.825,0.928780
0.320,741.448,0.918841
0.330,739.704,0.903825
0.340,738.726,0.883085
0.350,738.889,0.892284
0.360,739.087,0.900412
0.370,738.186,0.896073
0.380,737.490,0.901082
0.390,738.118,0.903338
0.400,739.827,0.929633
0.410,740.879,0.939955
0.420,742.240,0.940669
0.430,743.422,0.929542
0.440,745.126,0.916374
0.450,745.910,0.900477
0.460,746.263,0.890354
0.470,746.225,0.895599
0.480,745.389,0.908064
0.490,744.086,0.922534
0.500,742.254,0.920016
0.510,739.375,0.886656
0.520,736.265,0.878350
0.530,733.214,0.864254
0.540,733.054,0.883670
0.550,734.173,0.910138
0.560,735.240,0.918692
0.570,736.725,0.916914
0.580,738.424,0.914945
0.590,740.243,0.934235
0.600,742.497,0.932075
0.610,744.503,0.924348
0.620,746.238,0.900069
0.630,747.390,0.880632
0.640,747.664,0.892155
0.650,747.883,0.900948
0.660,747.065,0.902298
0.670,745.244,0.917026
0.680,742.310,0.926777
0.690,739.254,0.899622
0.700,736.472,0.891721
0.710,736.270,0.882652
0.720,737.102,0.889178
0.730,738.136,0.902636
0.740,738.748,0.918516
0.750,739.582,0.932490
0.760,740.617,0.935226
0.770,741.895,0.930913
0.780,743.125,0.924222
0.790,744.544,0.908165
0.800,745.806,0.887679
0.810,746.403,0.870202
0.820,746.694,0.861623
0.830,746.471,0.869722
0.840,746.526,0.871848
0.850,746.181,0.877454
0.860,745.959,0.881771
0.870,745.598,0.886892
0.880,745.560,0.885955
0.890,745.364,0.882893
0.900,744.883,0.884764
0.910,744.207,0.897643
0.920,744.390,0.852932
0.930,744.795,0.644342
0.940,579.600,0.506716
0.950,581.758,0.863319
0.960,582.856,0.932070
0.970,583.373,0.953624
0.980,582.777,0.961033
0.990,581.845,0.964198
1.000,582.000,0.971247
1.010,582.650,0.975291
1.020,583.106,0.976932
1.030,583.515,0.978263
1.040,583.825,0.979384
1.050,584.091,0.979952
1.060,584.609,0.978123
1.070,585.001,0.975950
1.080,585.126,0.974089
1.090,584.951,0.973899
1.100,584.683,0.973348
1.110,584.203,0.975203
1.120,584.085,0.974269
1.130,584.308,0.974086
1.140,584.231,0.972949
1.150,584.578,0.967613
1.160,585.127,0.952857
1.170,586.448,0.916747
1.180,588.863,0.874663
1.190,591.895,0.639613
1.200,745.279,0.292848
1.210,745.592,0.674656
1.220,744.903,0.866309
1.230,743.953,0.918793
1.240,742.922,0.936765
1.250,742.445,0.945643
1.260,742.407,0.945073
1.270,742.331,0.940578
1.280,741.880,0.939833
1.290,741.475,0.934787
1.300,741.335,0.936983
1.310,741.187,0.937703
1.320,741.067,0.938493
1.330,741.277,0.942491
1.340,741.673,0.938965
1.350,741.295,0.921278
1.360,741.634,0.875618
1.370,740.340,0.580442
1.380,986.776,0.266640
1.390,986.063,0.457185
1.400,986.047,0.684869
1.410,985.169,0.822510
1.420,984.443,0.880816
1.430,985.112,0.880212
1.440,985.917,0.868896
1.450,986.954,0.868126
1.460,988.008,0.877371
1.470,989.854,0.879007
1.480,990.252,0.917702
1.490,990.317,0.928399
1.500,990.654,0.924606
1.510,992.021,0.911280
1.520,993.930,0.892856
1.530,997.706,0.842904
1.540,1000.631,0.866219
1.550,1001.941,0.887820
1.560,1001.892,0.897553
1.570,1001.917,0.892531
1.580,1002.246,0.857540
1.590,1000.676,0.826810
1.600,998.156,0.839988
1.610,996.186,0.868621
1.620,996.381,0.858655
1.630,996.882,0.819858
1.640,993.487,0.491554
1.650,885.977,0.803583
1.660,887.617,0.897503
1.670,887.494,0.931090
1.680,887.320,0.945777
1.690,886.614,0.954033
1.700,885.478,0.956974
1.710,884.458,0.961627
1.720,883.499,0.959704
1.730,882.357,0.954702
1.740,881.862,0.959588
1.750,881.755,0.956477
1.760,881.973,0.950116
1.770,882.294,0.941707
1.780,883.046,0.929502
1.790,883.736,0.931320
1.800,883.789,0.947134
1.810,884.272,0.955565
1.820,885.030,0.960947
1.830,886.273,0.956179
1.840,886.547,0.953073
1.850,885.472,0.951901
1.860,882.406,0.950080
1.870,879.371,0.928116
1.880,877.556,0.904438
1.890,876.179,0.914949
1.900,875.372,0.935233
1.910,874.484,0.946959
1.920,874.285,0.950740
1.930,875.579,0.951752
1.940,877.907,0.952920
1.950,879.945,0.968470
1.960,881.227,0.971136
1.970,881.839,0.968024
1.980,882.550,0.964560
1.990,884.070,0.960474
2.000,885.530,0.962051
2.010,886.749,0.960100
2.020,888.844,0.941137
2.030,890.514,0.912908
2.040,890.603,0.897163
2.050,889.031,0.897017
2.060,883.516,0.928405
2.070,879.875,0.930024
2.080,878.474,0.927269
2.090,877.890,0.928056
2.100,877.232,0.936720
2.110,877.255,0.942166
2.120,878.166,0.952198
2.130,880.052,0.966386
2.140,881.378,0.969316
2.150,881.296,0.964505
2.160,881.075,0.961143
2.170,883.250,0.961591
2.180,884.714,0.968681
2.190,886.123,0.967139
2.200,888.186,0.948541
2.210,889.490,0.920495
2.220,891.001,0.887782
2.230,889.392,0.895806
2.240,883.663,0.928468
2.250,880.058,0.930205
2.260,878.491,0.927037
2.270,878.900,0.938586
2.280,878.375,0.949556
2.290,878.485,0.958164
2.300,879.301,0.964768
2.310,879.656,0.962699
2.320,879.951,0.959877
2.330,880.980,0.962777
2.340,882.538,0.969771
2.350,883.992,0.969966
2.360,885.463,0.968896
2.370,886.749,0.961020
2.380,887.866,0.943010
2.390,889.850,0.901366
2.400,890.359,0.853094
2.410,883.510,0.894791
2.420,878.382,0.898745
2.430,875.828,0.875390
2.440,878.819,0.816235
2.450,881.543,0.703795
2.460,794.269,0.649018
2.470,790.050,0.821413
2.480,787.342,0.855330
2.490,786.224,0.868703
2.500,786.219,0.856141
2.510,785.522,0.902828
2.520,785.790,0.925965
2.530,787.338,0.930662
2.540,788.783,0.932337
2.550,790.123,0.925611
2.560,790.589,0.924622
2.570,791.555,0.910181
2.580,792.082,0.906025
2.590,792.742,0.909272
2.600,793.623,0.918088
2.610,793.816,0.919820
2.620,793.396,0.919065
2.630,791.359,0.911632
2.640,788.126,0.940612
2.650,786.055,0.946485
2.660,784.528,0.948171
2.670,784.064,0.943402
2.680,784.078,0.943481
2.690,784.248,0.945760
2.700,784.222,0.947586
2.710,784.249,0.947508
2.720,784.290,0.947701
2.730,784.224,0.946637
2.740,784.084,0.944820
2.750,784.055,0.945131
2.760,784.075,0.947488
2.770,784.192,0.948794
2.780,784.165,0.951550
2.790,784.871,0.953654
2.800,785.648,0.955778
2.810,786.434,0.957178
2.820,786.686,0.958698
2.830,787.608,0.957493
2.840,789.200,0.947498
2.850,789.290,0.943689
2.860,787.265,0.953538
2.870,785.981,0.913148
2.880,787.403,0.785908
2.890,881.493,0.759074
2.900,883.503,0.733589
2.910,883.727,0.682365
2.920,790.133,0.667035
2.930,790.491,0.580535
2.940,878.675,0.708497
2.950,878.907,0.898612
2.960,879.051,0.932404
2.970,878.819,0.945310
2.980,878.839,0.954958
2.990,879.336,0.961320
3.000,879.847,0.965007
3.010,880.194,0.967871
3.020,880.631,0.972366
3.030,880.518,0.970246
3.040,880.387,0.967337
3.050,879.735,0.961531
3.060,880.105,0.956925
3.070,881.321,0.953131
3.080,882.365,0.953978
3.090,882.107,0.955305
3.100,880.858,0.949827
3.110,878.356,0.932403
3.120,876.225,0.923194
3.130,874.583,0.929081
3.140,873.332,0.934687
3.150,873.716,0.936446
3.160,875.651,0.932928
3.170,877.903,0.937595
3.180,880.040,0.961355
3.190,881.388,0.966836
3.200,881.820,0.965756
3.210,881.204,0.955549
3.220,883.138,0.952706
