time,frequency,confidence
0.000,937.140,0.890324
0.010,936.044,0.946789
0.020,934.682,0.969017
0.030,934.405,0.973216
0.040,934.175,0.973140
0.050,934.172,0.973612
0.060,934.538,0.973997
0.070,935.094,0.975227
0.080,935.922,0.975836
0.090,936.277,0.975612
0.100,936.881,0.975216
0.110,937.329,0.973870
0.120,937.262,0.974470
0.130,937.236,0.974158
0.140,937.250,0.973198
0.150,938.002,0.972367
0.160,938.825,0.968996
0.170,939.941,0.963161
0.180,940.546,0.956123
0.190,940.887,0.951211
0.200,940.437,0.952313
0.210,940.059,0.953563
0.220,939.831,0.956805
0.230,940.168,0.958722
0.240,940.562,0.957427
0.250,940.794,0.956163
0.260,940.360,0.957550
0.270,937.869,0.962910
0.280,933.645,0.966599
0.290,929.866,0.950765
0.300,927.690,0.929134
0.310,928.656,0.898887
0.320,932.715,0.764216
0.330,836.462,0.694584
0.340,836.450,0.838637
0.350,834.114,0.915600
0.360,831.891,0.950382
0.370,831.728,0.958689
0.380,832.976,0.959828
0.390,833.645,0.958408
0.400,834.066,0.958768
0.410,833.802,0.959908
0.420,833.097,0.961389
0.430,833.023,0.962722
0.440,833.308,0.962681
0.450,833.436,0.964654
0.460,833.427,0.964831
0.470,833.184,0.964280
0.480,832.846,0.965437
0.490,832.608,0.964570
0.500,832.627,0.963748
0.510,833.033,0.963587
0.520,833.111,0.962997
0.530,832.657,0.963441
0.540,832.297,0.963362
0.550,832.290,0.962549
0.560,832.498,0.961869
0.570,832.568,0.960943
0.580,832.718,0.959529
0.590,832.730,0.957737
0.600,833.200,0.956827
0.610,834.090,0.955243
0.620,834.669,0.954834
0.630,835.221,0.954783
0.640,835.962,0.953243
0.650,836.682,0.951703
0.660,837.061,0.945301
0.670,837.149,0.937515
0.680,837.262,0.924277
0.690,836.543,0.924153
0.700,834.981,0.931929
0.710,833.391,0.943595
0.720,833.444,0.954270
0.730,834.174,0.950588
0.740,835.140,0.941584
0.750,835.819,0.896426
0.760,835.404,0.632436
0.770,416.817,0.620907
0.780,416.317,0.401463
0.790,278.620,0.278325
0.800,277.724,0.207816
0.810,694.202,0.166169
0.820,695.002,0.667966
0.830,694.271,0.822790
0.840,694.925,0.864572
0.850,696.516,0.906753
0.860,697.566,0.925306
0.870,698.185,0.934638
0.880,698.688,0.942839
0.890,698.809,0.944867
0.900,698.737,0.943932
0.910,698.590,0.943090
0.920,698.324,0.942583
0.930,698.259,0.942638
0.940,698.486,0.943054
0.950,699.030,0.942978
0.960,699.771,0.942467
0.970,700.664,0.941723
0.980,701.405,0.942471
0.990,701.990,0.942310
1.000,702.287,0.939938
1.010,702.374,0.938298
1.020,702.190,0.939266
1.030,701.749,0.942024
1.040,700.772,0.948697
1.050,699.635,0.951342
1.060,698.350,0.947170
1.070,697.003,0.936661
1.080,695.548,0.933479
1.090,694.884,0.942897
1.100,695.441,0.939231
1.110,697.096,0.944019
1.120,699.533,0.949628
1.130,701.622,0.944908
1.140,702.842,0.935962
1.150,703.601,0.924863
1.160,704.293,0.912802
1.170,704.838,0.911390
1.180,704.721,0.909125
1.190,704.110,0.911545
1.200,702.757,0.932902
1.210,700.767,0.951000
1.220,699.091,0.952295
1.230,696.966,0.938506
1.240,694.711,0.935307
1.250,692.685,0.944687
1.260,692.016,0.949118
1.270,692.376,0.951459
1.280,694.627,0.941164
1.290,697.308,0.939359
1.300,699.812,0.946368
1.310,701.411,0.939849
1.320,702.486,0.932595
1.330,703.746,0.917327
1.340,704.707,0.905239
1.350,705.143,0.907616
1.360,705.223,0.908766
1.370,704.473,0.898044
1.380,702.620,0.929522
1.390,700.377,0.948598
1.400,698.549,0.949974
1.410,696.836,0.937984
1.420,695.579,0.929448
1.430,694.989,0.940520
1.440,695.431,0.936167
1.450,696.347,0.935799
1.460,697.951,0.949940
1.470,699.656,0.949736
1.480,701.193,0.945208
1.490,702.391,0.935487
1.500,703.478,0.922703
1.510,704.595,0.907689
1.520,705.527,0.916311
1.530,705.586,0.919767
1.540,705.381,0.917139
1.550,704.699,0.905071
1.560,703.910,0.912206
1.570,703.495,0.920271
1.580,703.103,0.927049
1.590,702.569,0.935104
1.600,702.110,0.939434
1.610,701.918,0.942241
1.620,701.836,0.944024
1.630,702.054,0.942385
1.640,702.548,0.936661
1.650,703.136,0.929614
1.660,703.550,0.922969
1.670,703.971,0.916176
1.680,704.248,0.912721
1.690,704.508,0.906312
1.700,704.539,0.906835
1.710,704.772,0.905415
1.720,704.838,0.906220
1.730,704.894,0.907680
1.740,705.008,0.909572
1.750,704.962,0.908598
1.760,704.598,0.904418
1.770,704.482,0.903520
1.780,704.757,0.903400
1.790,705.009,0.904541
1.800,705.356,0.908028
1.810,705.638,0.908169
1.820,705.926,0.908924
1.830,705.975,0.909928
1.840,706.304,0.906104
1.850,707.104,0.884365
1.860,708.090,0.826475
1.870,708.545,0.747870
1.880,703.329,0.739581
1.890,700.083,0.566092
1.900,841.485,0.386507
1.910,843.190,0.565574
1.920,842.285,0.719422
1.930,838.731,0.791971
1.940,835.700,0.860818
1.950,832.871,0.923874
1.960,831.152,0.945742
1.970,829.207,0.931084
1.980,827.223,0.922215
1.990,826.464,0.924248
2.000,826.759,0.924490
2.010,827.559,0.926579
2.020,828.462,0.927640
2.030,828.893,0.940206
2.040,829.404,0.948987
2.050,829.966,0.953730
2.060,830.797,0.957754
2.070,831.893,0.961295
2.080,833.135,0.959002
2.090,834.535,0.952228
2.100,835.268,0.945297
2.110,835.683,0.945902
2.120,835.790,0.950664
2.130,835.746,0.954852
2.140,835.479,0.956676
2.150,834.626,0.957956
2.160,833.856,0.960876
2.170,832.531,0.961505
2.180,831.156,0.956980
2.190,829.763,0.943252
2.200,828.177,0.927191
2.210,827.139,0.927571
2.220,827.541,0.926104
2.230,828.340,0.924618
2.240,829.332,0.941249
2.250,829.915,0.948484
2.260,830.528,0.955701
2.270,831.375,0.961533
2.280,831.912,0.963786
2.290,832.277,0.965728
2.300,832.359,0.964942
2.310,832.367,0.962105
2.320,832.495,0.961564
2.330,832.868,0.960559
2.340,833.293,0.958116
2.350,833.897,0.956676
2.360,834.343,0.954361
2.370,834.363,0.953651
2.380,834.683,0.953162
2.390,834.599,0.955328
2.400,834.258,0.956885
2.410,833.742,0.958574
2.420,833.895,0.958918
2.430,834.295,0.959260
2.440,834.763,0.958891
2.450,835.055,0.957877
2.460,835.042,0.958500
2.470,834.969,0.957846
2.480,834.340,0.958174
2.490,833.590,0.957902
2.500,834.036,0.952469
2.510,834.224,0.908932
2.520,834.699,0.608508
2.530,561.547,0.370928
2.540,704.347,0.317095
2.550,706.592,0.851836
2.560,705.991,0.881441
2.570,704.882,0.884377
2.580,704.490,0.892231
2.590,704.561,0.891129
2.600,704.253,0.900974
2.610,703.199,0.924264
2.620,701.583,0.945173
2.630,700.135,0.949761
2.640,699.591,0.941535
2.650,700.713,0.931379
2.660,702.345,0.917898
2.670,703.225,0.915998
2.680,702.936,0.925233
2.690,702.574,0.930075
2.700,702.492,0.933157
2.710,702.879,0.931493
2.720,703.538,0.924593
2.730,703.851,0.919171
2.740,703.812,0.917829
2.750,703.806,0.918068
2.760,704.031,0.916174
2.770,704.321,0.909660
2.780,704.596,0.903555
2.790,704.348,0.907635
2.800,704.139,0.910740
2.810,704.196,0.909804
2.820,704.410,0.905410
2.830,704.325,0.908318
2.840,704.470,0.903666
2.850,704.771,0.901682
2.860,705.126,0.907852
2.870,705.384,0.907990
2.880,705.545,0.909723
2.890,705.825,0.909389
2.900,705.947,0.907398
2.910,705.832,0.903636
2.920,705.050,0.894581
2.930,703.216,0.905317
2.940,701.830,0.917704
2.950,701.140,0.917989
2.960,702.594,0.896576
2.970,703.994,0.784598
2.980,707.919,0.366334
2.990,799.119,0.572448
3.000,797.424,0.819668
3.010,794.969,0.906198
3.020,792.652,0.917753
3.030,790.549,0.912313
3.040,787.051,0.939228
3.050,783.737,0.931867
3.060,780.208,0.932022
3.070,779.148,0.934057
3.080,779.189,0.943688
3.090,779.543,0.947458
3.100,781.021,0.936959
3.110,783.161,0.937137
3.120,786.321,0.937316
3.130,789.533,0.914388
3.140,791.951,0.893073
3.150,794.890,0.914371
3.160,797.224,0.923870
3.170,797.354,0.920419
3.180,795.299,0.928815
3.190,793.816,0.929195
3.200,791.608,0.906733
3.210,787.607,0.919037
