time,frequency,confidence
0.000,390.705,0.885004
0.010,391.082,0.922022
0.020,390.905,0.936457
0.030,391.437,0.934294
0.040,391.368,0.937448
0.050,391.529,0.938845
0.060,391.453,0.938004
0.070,391.496,0.938160
0.080,391.561,0.941061
0.090,391.470,0.938132
0.100,391.588,0.943844
0.110,391.491,0.941340
0.120,391.652,0.945621
0.130,391.530,0.943340
0.140,391.731,0.946686
0.150,391.740,0.950053
0.160,391.944,0.953485
0.170,392.101,0.956940
0.180,392.161,0.958994
0.190,392.332,0.961651
0.200,392.086,0.960860
0.210,392.270,0.962232
0.220,392.240,0.963331
0.230,392.146,0.959880
0.240,392.156,0.957800
0.250,391.775,0.950537
0.260,391.748,0.943970
0.270,391.555,0.939822
0.280,391.406,0.932989
0.290,391.149,0.937285
0.300,390.957,0.941820
0.310,390.870,0.941974
0.320,390.528,0.946195
0.330,390.516,0.947193
0.340,390.237,0.950802
0.350,390.253,0.951283
0.360,390.311,0.951333
0.370,390.399,0.952902
0.380,390.539,0.950163
0.390,390.476,0.952145
0.400,390.505,0.951418
0.410,390.399,0.953345
0.420,390.486,0.951800
0.430,390.440,0.955383
0.440,390.544,0.953523
0.450,390.664,0.952169
0.460,390.797,0.948858
0.470,390.895,0.947563
0.480,391.048,0.941049
0.490,391.085,0.941595
0.500,391.355,0.931930
0.510,391.263,0.934706
0.520,391.566,0.940407
0.530,391.597,0.944025
0.540,391.902,0.949024
0.550,391.921,0.952716
0.560,392.079,0.952749
0.570,392.224,0.956610
0.580,392.265,0.958026
0.590,392.464,0.957163
0.600,392.263,0.957732
0.610,392.371,0.955347
0.620,392.164,0.954503
0.630,392.018,0.951120
0.640,392.015,0.950856
0.650,391.807,0.947744
0.660,391.852,0.946358
0.670,391.589,0.942593
0.680,391.702,0.942161
0.690,391.699,0.943521
0.700,391.815,0.944484
0.710,391.767,0.942986
0.720,391.863,0.945457
0.730,391.945,0.946811
0.740,391.700,0.944535
0.750,391.955,0.949708
0.760,391.910,0.952095
0.770,392.148,0.953185
0.780,392.108,0.955938
0.790,392.133,0.953789
0.800,392.253,0.953976
0.810,392.233,0.955763
0.820,392.463,0.955273
0.830,392.370,0.958867
0.840,392.502,0.959899
0.850,392.562,0.962317
0.860,392.381,0.960002
0.870,392.556,0.961606
0.880,392.324,0.962390
0.890,392.485,0.961103
0.900,392.386,0.962092
0.910,392.192,0.960018
0.920,392.290,0.958129
0.930,392.169,0.958035
0.940,392.473,0.957327
0.950,392.270,0.954258
0.960,392.215,0.952297
0.970,391.646,0.929244
0.980,390.080,0.926742
0.990,388.631,0.846434
1.000,386.874,0.636664
1.010,364.668,0.436250
1.020,355.747,0.796850
1.030,354.156,0.908751
1.040,353.622,0.905949
1.050,352.877,0.906290
1.060,352.349,0.911525
1.070,352.017,0.921056
1.080,351.990,0.937629
1.090,351.857,0.952208
1.100,351.559,0.966588
1.110,351.190,0.974657
1.120,350.947,0.977476
1.130,350.744,0.979451
1.140,350.662,0.979863
1.150,350.593,0.979404
1.160,350.531,0.979409
1.170,350.479,0.978501
1.180,350.425,0.978169
1.190,350.377,0.977107
1.200,350.344,0.977335
1.210,350.319,0.976422
1.220,350.378,0.976999
1.230,350.336,0.976664
1.240,350.415,0.977361
1.250,350.404,0.976928
1.260,350.493,0.977267
1.270,350.437,0.976773
1.280,350.498,0.977109
1.290,350.409,0.976353
1.300,350.453,0.976764
1.310,350.388,0.975917
1.320,350.438,0.976573
1.330,350.378,0.975834
1.340,350.414,0.976730
1.350,350.336,0.976433
1.360,350.393,0.976877
1.370,350.337,0.976877
1.380,350.412,0.977415
1.390,350.281,0.977773
1.400,350.338,0.977952
1.410,350.236,0.978622
1.420,350.360,0.978504
1.430,350.309,0.979156
1.440,350.448,0.979139
1.450,350.443,0.980111
1.460,350.577,0.979304
1.470,350.529,0.980288
1.480,350.433,0.979372
1.490,350.374,0.980009
1.500,350.142,0.978885
1.510,350.195,0.979727
1.520,350.378,0.978656
1.530,350.913,0.977680
1.540,351.415,0.973047
1.550,351.682,0.969713
1.560,351.591,0.968483
1.570,351.433,0.972258
1.580,351.187,0.973330
1.590,351.121,0.975591
1.600,350.880,0.976501
1.610,350.874,0.976970
1.620,350.888,0.976790
1.630,351.313,0.971734
1.640,351.572,0.970081
1.650,351.946,0.963905
1.660,352.104,0.962941
1.670,352.472,0.958146
1.680,352.765,0.966477
1.690,353.302,0.969721
1.700,353.753,0.953459
1.710,354.579,0.893595
1.720,354.609,0.743369
1.730,356.490,0.544925
1.740,385.877,0.659300
1.750,387.552,0.881688
1.760,386.336,0.867356
1.770,386.780,0.890097
1.780,386.254,0.927805
1.790,385.789,0.940176
1.800,385.589,0.939550
1.810,384.670,0.950147
1.820,383.950,0.955049
1.830,383.714,0.956023
1.840,383.585,0.955884
1.850,383.372,0.954024
1.860,383.352,0.951680
1.870,383.360,0.952688
1.880,383.411,0.954883
1.890,383.849,0.956281
1.900,384.537,0.956993
1.910,385.270,0.952268
1.920,385.958,0.939946
1.930,386.836,0.917390
1.940,387.397,0.939889
1.950,388.077,0.956964
1.960,388.867,0.963676
1.970,389.844,0.962098
1.980,390.640,0.953805
1.990,391.197,0.938735
2.000,391.300,0.938096
2.010,391.544,0.945682
2.020,391.345,0.941502
2.030,391.761,0.954918
2.040,391.847,0.958076
2.050,392.167,0.963349
2.060,392.205,0.965126
2.070,391.923,0.958605
2.080,392.113,0.963313
2.090,391.740,0.955520
2.100,391.238,0.946324
2.110,390.288,0.911121
2.120,388.447,0.759972
2.130,359.737,0.514775
2.140,353.445,0.918115
2.150,352.327,0.927927
2.160,351.704,0.960539
2.170,351.024,0.971464
2.180,350.884,0.973611
2.190,350.625,0.976625
2.200,350.422,0.976351
2.210,350.154,0.977277
2.220,350.055,0.976290
2.230,349.929,0.977157
2.240,349.944,0.976479
2.250,349.870,0.977112
2.260,349.923,0.976068
2.270,349.882,0.975961
2.280,350.000,0.976301
2.290,349.986,0.976553
2.300,350.088,0.976227
2.310,350.037,0.976420
2.320,350.132,0.976322
2.330,350.044,0.976569
2.340,350.138,0.976235
2.350,350.091,0.976926
2.360,350.188,0.976141
2.370,350.211,0.977318
2.380,350.372,0.976937
2.390,350.416,0.977893
2.400,350.596,0.977275
2.410,350.674,0.977187
2.420,350.703,0.977235
2.430,350.715,0.976768
2.440,350.592,0.977003
2.450,350.487,0.976599
2.460,350.080,0.975931
2.470,349.901,0.975381
2.480,349.489,0.973504
2.490,349.469,0.974824
2.500,349.449,0.974626
2.510,349.674,0.976987
2.520,349.958,0.978161
2.530,350.159,0.978866
2.540,350.203,0.979268
2.550,350.254,0.978986
2.560,350.214,0.979005
2.570,350.335,0.979171
2.580,350.471,0.979280
2.590,350.801,0.978604
2.600,351.067,0.976086
2.610,351.256,0.975258
2.620,351.376,0.972401
2.630,351.570,0.970989
2.640,351.650,0.970210
2.650,351.864,0.967274
2.660,351.793,0.969586
2.670,351.880,0.966134
2.680,352.089,0.966962
2.690,353.358,0.968958
2.700,353.841,0.962792
2.710,354.396,0.949508
2.720,353.943,0.890821
2.730,353.859,0.798742
2.740,350.513,0.580661
2.750,329.505,0.687511
2.760,328.648,0.768139
2.770,329.268,0.809165
2.780,328.902,0.865522
2.790,328.340,0.905997
2.800,328.564,0.909420
2.810,328.730,0.909260
2.820,328.870,0.920591
2.830,329.151,0.938427
2.840,329.230,0.943554
2.850,329.027,0.945707
2.860,328.836,0.937175
2.870,328.814,0.936385
2.880,328.876,0.936033
2.890,329.000,0.938245
2.900,329.272,0.944695
2.910,329.413,0.946325
2.920,329.344,0.948198
2.930,329.182,0.943899
2.940,329.000,0.931539
2.950,328.766,0.923244
2.960,328.700,0.914904
2.970,329.017,0.927366
2.980,329.262,0.929019
2.990,329.365,0.940960
3.000,329.349,0.942683
3.010,329.137,0.932368
3.020,328.935,0.933708
3.030,328.690,0.929204
3.040,328.890,0.943019
3.050,329.297,0.951848
3.060,329.624,0.956780
3.070,329.398,0.950071
3.080,328.481,0.904073
3.090,326.155,0.777979
3.100,324.193,0.418587
3.110,293.331,0.875633
3.120,292.800,0.935663
3.130,293.060,0.938714
3.140,293.167,0.946230
3.150,293.306,0.948779
3.160,293.271,0.945910
3.170,293.256,0.948306
3.180,293.300,0.950244
3.190,293.319,0.952208
3.200,293.324,0.953521
3.210,293.337,0.954602
3.220,293.220,0.950502
3.230,293.229,0.950737
3.240,293.257,0.951381
3.250,293.191,0.949177
3.260,293.218,0.950698
3.270,293.277,0.953257
3.280,293.306,0.955085
3.290,293.354,0.956832
3.300,293.413,0.958011
3.310,293.404,0.957209
3.320,293.554,0.963514
3.330,293.533,0.963908
3.340,293.556,0.966371
3.350,293.590,0.965991
3.360,293.584,0.966248
3.370,293.502,0.962905
3.380,293.551,0.964528
3.390,293.554,0.964754
3.400,293.568,0.965192
3.410,293.573,0.964472
3.420,293.573,0.964783
3.430,293.527,0.962794
3.440,293.487,0.962218
3.450,293.440,0.959887
3.460,293.388,0.957858
3.470,293.486,0.962338
3.480,293.468,0.963046
3.490,293.492,0.965373
3.500,293.535,0.965236
3.510,293.576,0.966864
3.520,293.585,0.966010
3.530,293.710,0.968319
3.540,293.755,0.969891
3.550,293.724,0.968665
3.560,293.719,0.967992
3.570,293.774,0.969539
3.580,293.823,0.968064
3.590,293.802,0.968575
3.600,293.870,0.969311
3.610,293.804,0.967010
3.620,293.840,0.968040
3.630,293.849,0.969597
3.640,293.794,0.969471
3.650,293.663,0.966558
3.660,293.741,0.968660
3.670,293.664,0.968972
3.680,293.404,0.966397
3.690,292.400,0.941048
3.700,290.618,0.837585
3.710,281.965,0.475058
3.720,268.941,0.738658
3.730,263.034,0.915657
3.740,261.979,0.958224
3.750,262.189,0.963425
3.760,261.981,0.963321
3.770,262.018,0.967257
3.780,262.634,0.967304
3.790,262.600,0.969010
3.800,262.675,0.967773
3.810,262.610,0.966694
