time,frequency,confidence
0.000,263.481,0.820707
0.010,263.125,0.919504
0.020,262.864,0.957966
0.030,262.407,0.967954
0.040,262.432,0.971253
0.050,262.409,0.970217
0.060,262.459,0.969120
0.070,262.262,0.970178
0.080,262.396,0.971302
0.090,262.337,0.969086
0.100,262.416,0.969077
0.110,262.479,0.968692
0.120,262.569,0.970426
0.130,262.598,0.968668
0.140,262.587,0.967803
0.150,262.475,0.968994
0.160,262.575,0.970537
0.170,262.567,0.967251
0.180,262.517,0.968102
0.190,262.590,0.967604
0.200,262.593,0.969551
0.210,262.669,0.967502
0.220,262.500,0.967737
0.230,262.466,0.969211
0.240,262.476,0.971543
0.250,262.549,0.967781
0.260,262.386,0.969742
0.270,262.552,0.969380
0.280,262.476,0.970705
0.290,262.627,0.968918
0.300,262.445,0.968880
0.310,262.481,0.970394
0.320,262.461,0.971821
0.330,262.543,0.968356
0.340,262.340,0.970490
0.350,262.555,0.969519
0.360,262.506,0.970203
0.370,262.702,0.967977
0.380,262.570,0.967986
0.390,262.676,0.968904
0.400,262.636,0.968727
0.410,262.809,0.965717
0.420,262.529,0.967519
0.430,262.758,0.967756
0.440,262.655,0.966971
0.450,262.734,0.966631
0.460,262.632,0.966168
0.470,262.702,0.968879
0.480,262.728,0.966780
0.490,262.676,0.966732
0.500,262.481,0.968162
0.510,262.566,0.970205
0.520,262.499,0.967148
0.530,262.426,0.967902
0.540,262.449,0.967544
0.550,262.475,0.969848
0.560,262.532,0.967653
0.570,262.460,0.967385
0.580,262.380,0.968526
0.590,262.470,0.970740
0.600,262.546,0.966866
0.610,262.416,0.968364
0.620,262.534,0.966999
0.630,262.479,0.969182
0.640,262.557,0.967295
0.650,262.350,0.967314
0.660,262.235,0.968962
0.670,262.225,0.971531
0.680,262.256,0.968917
0.690,262.127,0.969949
0.700,262.287,0.969804
0.710,262.293,0.971076
0.720,262.500,0.969142
0.730,262.427,0.968520
0.740,262.444,0.968302
0.750,262.524,0.969986
0.760,262.663,0.965875
0.770,262.470,0.968406
0.780,262.702,0.966298
0.790,262.667,0.967727
0.800,262.886,0.965363
0.810,262.728,0.965811
0.820,262.807,0.966988
0.830,262.749,0.966446
0.840,262.835,0.964581
0.850,262.505,0.966547
0.860,262.643,0.967596
0.870,262.500,0.967437
0.880,262.432,0.968014
0.890,262.249,0.968895
0.900,262.207,0.971956
0.910,262.226,0.971602
0.920,262.318,0.970381
0.930,262.171,0.971622
0.940,262.360,0.972815
0.950,262.373,0.971094
0.960,262.379,0.971151
0.970,262.353,0.970655
0.980,262.336,0.973598
0.990,262.489,0.971898
1.000,262.441,0.969762
1.010,262.261,0.971518
1.020,262.351,0.973775
1.030,262.401,0.969718
1.040,262.382,0.970071
1.050,262.431,0.970095
1.060,262.559,0.970887
1.070,262.755,0.967152
1.080,262.769,0.965738
1.090,262.824,0.965517
1.100,263.009,0.962903
1.110,263.260,0.953529
1.120,263.022,0.960104
1.130,263.345,0.953864
1.140,263.434,0.947630
1.150,263.449,0.947826
1.160,263.503,0.946760
1.170,263.558,0.944240
1.180,263.679,0.939260
1.190,263.614,0.940223
1.200,263.569,0.942975
1.210,263.623,0.942223
1.220,263.605,0.939752
1.230,263.454,0.946926
1.240,263.586,0.947526
1.250,263.668,0.937856
1.260,263.408,0.949680
1.270,263.552,0.947363
1.280,263.628,0.941549
1.290,263.579,0.946270
1.300,263.528,0.945828
1.310,263.406,0.954775
1.320,263.501,0.948898
1.330,263.445,0.945921
1.340,263.266,0.956062
1.350,263.361,0.953293
1.360,263.266,0.950464
1.370,263.103,0.954545
1.380,263.252,0.956390
1.390,263.324,0.946689
1.400,263.196,0.944654
1.410,263.112,0.943241
1.420,262.867,0.949110
1.430,261.876,0.939051
1.440,259.687,0.893939
1.450,257.748,0.848229
1.460,259.531,0.818061
1.470,263.048,0.810240
1.480,265.380,0.883109
1.490,265.829,0.929296
1.500,264.741,0.891456
1.510,263.249,0.886380
1.520,262.265,0.885456
1.530,263.158,0.866290
1.540,263.433,0.832866
1.550,263.294,0.774723
1.560,264.076,0.682835
1.570,263.055,0.553226
1.580,265.232,0.385857
1.590,1970.752,0.073692
1.600,269.383,0.111034
1.610,1925.261,0.058352
1.620,1180.719,0.052328
1.630,293.859,0.087604
1.640,323.101,0.042244
1.650,33.533,0.032339
1.660,329.792,0.109335
1.670,334.327,0.234076
1.680,267.428,0.148170
1.690,263.294,0.300799
1.700,260.092,0.138863
1.710,346.045,0.250929
1.720,347.535,0.425974
1.730,347.068,0.489332
1.740,345.047,0.421429
1.750,346.297,0.423163
1.760,346.713,0.385162
1.770,337.996,0.277042
1.780,392.796,0.184351
1.790,391.511,0.256203
1.800,354.592,0.495088
1.810,350.039,0.524631
1.820,344.413,0.260304
1.830,335.442,0.324367
1.840,335.769,0.430818
1.850,333.057,0.452129
1.860,347.203,0.377116
1.870,330.981,0.400102
1.880,327.227,0.384012
1.890,329.996,0.336100
1.900,334.596,0.255473
1.910,335.211,0.206064
1.920,332.782,0.109332
1.930,1954.549,0.130219
1.940,650.480,0.244438
1.950,288.711,0.242408
1.960,287.901,0.267413
1.970,200.624,0.128340
1.980,197.896,0.369754
