time,frequency,confidence
0.000,392.964,0.883901
0.010,393.215,0.929347
0.020,392.370,0.944631
0.030,392.562,0.966302
0.040,392.468,0.969022
0.050,392.658,0.968754
0.060,392.742,0.970558
0.070,392.456,0.968845
0.080,392.573,0.968069
0.090,392.411,0.965876
0.100,392.220,0.962461
0.110,392.222,0.959352
0.120,391.944,0.955791
0.130,391.988,0.954588
0.140,391.911,0.954578
0.150,391.829,0.950870
0.160,391.937,0.955771
0.170,391.832,0.954103
0.180,392.056,0.959455
0.190,392.033,0.960771
0.200,392.133,0.961042
0.210,392.264,0.964117
0.220,392.203,0.964117
0.230,392.447,0.964046
0.240,392.354,0.965103
0.250,392.439,0.965526
0.260,392.499,0.966049
0.270,392.215,0.963048
0.280,392.396,0.964147
0.290,392.288,0.964969
0.300,392.291,0.962125
0.310,392.353,0.962646
0.320,392.056,0.959403
0.330,392.142,0.957514
0.340,392.082,0.958176
0.350,392.061,0.957060
0.360,392.180,0.957927
0.370,392.069,0.958035
0.380,392.274,0.960538
0.390,392.260,0.962661
0.400,392.290,0.961947
0.410,392.461,0.964989
0.420,392.315,0.964833
0.430,392.564,0.965681
0.440,392.569,0.966744
0.450,392.417,0.964970
0.460,392.563,0.964656
0.470,392.463,0.966500
0.480,392.636,0.965684
0.490,392.727,0.965737
0.500,392.548,0.965442
0.510,392.648,0.965225
0.520,392.491,0.965005
0.530,392.343,0.961987
0.540,392.365,0.961551
0.550,392.096,0.959509
0.560,392.188,0.958800
0.570,392.018,0.957171
0.580,391.929,0.954831
0.590,392.085,0.957919
0.600,392.067,0.959567
0.610,392.388,0.961478
0.620,392.440,0.964368
0.630,392.552,0.965671
0.640,392.726,0.967720
0.650,392.472,0.967974
0.660,392.651,0.969479
0.670,392.618,0.970833
0.680,392.536,0.970153
0.690,392.798,0.970537
0.700,392.580,0.970444
0.710,392.480,0.968582
0.720,392.570,0.967646
0.730,392.399,0.967606
0.740,392.594,0.966231
0.750,392.538,0.966437
0.760,392.435,0.964517
0.770,392.404,0.962866
0.780,392.079,0.959455
0.790,392.165,0.958613
0.800,392.087,0.959365
0.810,392.013,0.956159
0.820,392.150,0.958958
0.830,391.950,0.956821
0.840,392.102,0.958451
0.850,392.177,0.961552
0.860,392.208,0.962053
0.870,392.457,0.962903
0.880,392.354,0.963956
0.890,392.570,0.965192
0.900,392.591,0.966217
0.910,392.359,0.963575
0.920,392.535,0.965435
0.930,392.373,0.966528
0.940,392.503,0.965404
0.950,392.572,0.966421
0.960,392.287,0.964651
0.970,392.473,0.964821
0.980,392.425,0.966239
0.990,392.499,0.965860
1.000,392.618,0.964997
1.010,392.425,0.965365
1.020,392.573,0.965094
1.030,392.511,0.964989
1.040,392.281,0.961193
1.050,392.389,0.962628
1.060,392.176,0.962735
1.070,392.347,0.962879
1.080,392.386,0.964651
1.090,392.189,0.962187
1.100,392.385,0.963753
1.110,392.264,0.964592
1.120,392.461,0.963618
1.130,392.542,0.964636
1.140,392.404,0.963564
1.150,392.538,0.963892
1.160,392.345,0.964164
1.170,392.400,0.963621
1.180,392.466,0.965574
1.190,392.318,0.964916
