time,frequency,confidence
0.000,331.603,0.814365
0.010,332.485,0.914924
0.020,332.489,0.934324
0.030,332.177,0.959332
0.040,331.816,0.972472
0.050,331.126,0.969705
0.060,330.323,0.913997
0.070,329.519,0.760570
0.080,329.575,0.626204
0.090,326.780,0.327496
0.100,369.910,0.886665
0.110,370.333,0.926851
0.120,369.829,0.925681
0.130,370.027,0.938579
0.140,370.074,0.941056
0.150,370.040,0.941973
0.160,369.958,0.941221
0.170,369.811,0.941361
0.180,369.741,0.941071
0.190,369.732,0.938149
0.200,369.870,0.945468
0.210,370.026,0.952462
0.220,370.409,0.958852
0.230,371.132,0.961793
0.240,373.376,0.834365
0.250,385.686,0.633075
0.260,393.369,0.926109
0.270,394.489,0.955489
0.280,394.673,0.957030
0.290,393.986,0.972308
0.300,393.752,0.975312
0.310,393.657,0.974350
0.320,393.839,0.973750
0.330,393.776,0.976075
0.340,394.020,0.974004
0.350,394.119,0.971381
0.360,394.250,0.970911
0.370,394.504,0.969395
0.380,394.702,0.967610
0.390,394.786,0.967970
0.400,394.851,0.970359
0.410,395.311,0.964585
0.420,396.763,0.956030
0.430,397.271,0.955551
0.440,397.938,0.918746
0.450,398.254,0.813473
0.460,399.532,0.712247
0.470,398.696,0.667469
0.480,393.839,0.198197
0.490,330.353,0.417608
0.500,329.900,0.640369
0.510,329.954,0.825322
0.520,330.300,0.903868
0.530,330.570,0.936183
0.540,330.848,0.952391
0.550,331.108,0.959680
0.560,331.053,0.963987
0.570,331.072,0.966622
0.580,331.214,0.967431
0.590,331.293,0.969126
0.600,331.293,0.971572
0.610,331.234,0.973023
0.620,331.108,0.973562
0.630,331.105,0.971681
0.640,331.310,0.970800
0.650,331.357,0.970224
0.660,331.433,0.966749
0.670,331.407,0.966549
0.680,331.229,0.970230
0.690,331.089,0.971695
0.700,331.107,0.970885
0.710,331.131,0.972373
0.720,331.226,0.972194
0.730,331.281,0.970123
0.740,331.279,0.970211
0.750,331.235,0.968956
0.760,331.213,0.968434
0.770,331.345,0.967447
0.780,331.433,0.964706
0.790,331.513,0.962906
0.800,331.649,0.960594
0.810,331.610,0.960621
0.820,331.547,0.961658
0.830,331.537,0.961668
0.840,331.427,0.964948
0.850,331.384,0.967430
0.860,331.439,0.968877
0.870,331.280,0.973445
0.880,331.079,0.974826
0.890,331.074,0.974794
0.900,331.036,0.974048
0.910,331.139,0.968808
0.920,331.289,0.966112
0.930,331.164,0.968778
0.940,331.061,0.970625
0.950,330.885,0.972030
0.960,330.816,0.974313
0.970,330.867,0.975797
0.980,330.971,0.974726
0.990,330.921,0.975841
1.000,330.945,0.972892
1.010,330.987,0.971112
1.020,331.104,0.969152
1.030,331.247,0.964347
1.040,331.343,0.961815
1.050,331.414,0.962005
1.060,331.393,0.962708
1.070,331.350,0.962344
1.080,331.421,0.963234
1.090,331.452,0.965581
1.100,331.504,0.965995
1.110,331.591,0.966654
1.120,331.453,0.968553
1.130,331.203,0.967996
1.140,330.999,0.969143
1.150,330.783,0.968820
1.160,330.815,0.963096
1.170,331.065,0.959334
1.180,331.157,0.958959
1.190,331.246,0.954908
1.200,331.188,0.950548
1.210,330.889,0.955643
1.220,330.782,0.958519
1.230,330.811,0.959025
1.240,330.653,0.962807
1.250,330.532,0.959836
1.260,330.384,0.949098
1.270,330.428,0.938875
1.280,330.660,0.927697
1.290,330.707,0.920832
1.300,330.820,0.915689
1.310,330.841,0.914135
1.320,330.844,0.910390
1.330,330.881,0.923833
1.340,330.852,0.934561
1.350,330.643,0.940578
1.360,330.689,0.948969
1.370,330.435,0.957555
1.380,329.507,0.959362
1.390,328.419,0.902426
1.400,327.785,0.813213
1.410,328.925,0.705728
1.420,328.234,0.443605
1.430,250.594,0.749238
1.440,248.755,0.860980
1.450,249.062,0.874058
1.460,249.095,0.891725
1.470,249.177,0.909528
1.480,249.245,0.914283
1.490,249.172,0.923343
1.500,249.221,0.923662
1.510,249.271,0.934934
1.520,249.293,0.934057
1.530,249.331,0.939441
1.540,249.359,0.935923
1.550,249.382,0.939174
1.560,249.408,0.934521
1.570,249.432,0.938442
1.580,249.435,0.933860
1.590,249.448,0.938362
1.600,249.395,0.933452
1.610,249.417,0.937768
1.620,249.452,0.937952
1.630,249.557,0.944532
1.640,250.301,0.947789
1.650,251.584,0.900985
1.660,253.240,0.803228
1.670,254.164,0.580311
1.680,254.886,0.338074
1.690,326.925,0.689111
1.700,329.531,0.884338
1.710,329.816,0.923124
1.720,329.931,0.946549
1.730,329.917,0.952903
1.740,329.741,0.950549
1.750,329.745,0.957180
1.760,329.790,0.959451
1.770,329.875,0.959392
1.780,330.081,0.955077
1.790,330.237,0.954022
1.800,330.123,0.956869
1.810,330.246,0.961958
1.820,330.195,0.962859
1.830,329.988,0.955880
1.840,329.851,0.949328
1.850,329.728,0.945788
1.860,329.577,0.948736
1.870,329.504,0.949025
1.880,329.635,0.952321
1.890,329.812,0.947910
1.900,329.876,0.951271
1.910,329.921,0.959430
1.920,329.969,0.963331
1.930,329.830,0.962772
1.940,329.731,0.960298
1.950,329.583,0.954449
1.960,329.433,0.953513
1.970,329.349,0.952721
1.980,329.467,0.955469
1.990,329.603,0.951719
2.000,329.703,0.954970
2.010,329.772,0.961303
2.020,329.767,0.962194
2.030,329.609,0.961076
2.040,329.461,0.955615
2.050,329.403,0.954599
2.060,329.333,0.958131
2.070,329.361,0.958271
2.080,329.675,0.962976
