time,frequency,confidence
0.000,262.593,0.805363
0.010,262.492,0.916154
0.020,262.598,0.953056
0.030,262.233,0.963744
0.040,262.138,0.966024
0.050,262.062,0.965725
0.060,262.054,0.966519
0.070,261.846,0.961627
0.080,261.796,0.962317
0.090,261.516,0.959092
0.100,261.697,0.962268
0.110,261.600,0.960394
0.120,261.580,0.960811
0.130,261.583,0.961090
0.140,261.756,0.965541
0.150,261.709,0.963964
0.160,261.822,0.963574
0.170,261.624,0.962372
0.180,261.796,0.963817
0.190,261.700,0.963874
0.200,261.623,0.960016
0.210,261.497,0.957786
0.220,261.454,0.958890
0.230,261.476,0.960659
0.240,261.508,0.959920
0.250,261.534,0.962981
0.260,261.701,0.964722
0.270,261.793,0.967350
0.280,261.831,0.964978
0.290,261.853,0.966206
0.300,261.650,0.964229
0.310,261.832,0.966267
0.320,261.758,0.964294
0.330,261.759,0.965103
0.340,261.717,0.963735
0.350,261.837,0.966483
0.360,261.774,0.966013
0.370,261.843,0.964977
0.380,261.647,0.964226
0.390,261.896,0.967760
0.400,261.745,0.968467
0.410,261.800,0.968177
0.420,261.544,0.958055
0.430,260.478,0.923821
0.440,257.667,0.806315
0.450,251.089,0.750667
0.460,247.173,0.892448
0.470,246.783,0.912562
0.480,247.062,0.928531
0.490,247.216,0.938405
0.500,247.531,0.950506
0.510,247.809,0.952320
0.520,247.679,0.953061
0.530,247.592,0.953659
0.540,247.601,0.951712
0.550,247.637,0.954025
0.560,247.562,0.954911
0.570,247.705,0.956614
0.580,247.585,0.955929
0.590,247.536,0.955470
0.600,247.442,0.952134
0.610,247.547,0.953435
0.620,247.581,0.949056
0.630,247.657,0.950745
0.640,247.666,0.951382
0.650,247.679,0.956235
0.660,247.702,0.956737
0.670,247.644,0.960425
0.680,247.627,0.959675
0.690,247.540,0.960851
0.700,247.576,0.959782
0.710,247.595,0.959282
0.720,247.642,0.958880
0.730,247.567,0.956174
0.740,247.597,0.958534
0.750,247.643,0.957412
0.760,247.720,0.961685
0.770,247.683,0.961859
0.780,247.822,0.963344
0.790,247.759,0.964846
0.800,247.734,0.965181
0.810,247.592,0.963665
0.820,247.472,0.960375
0.830,247.309,0.948239
0.840,247.484,0.938705
0.850,249.353,0.858202
0.860,252.778,0.834971
0.870,257.348,0.897378
0.880,259.931,0.956072
0.890,260.935,0.940812
0.900,260.831,0.941544
0.910,260.930,0.942598
0.920,260.995,0.944363
0.930,261.327,0.954824
0.940,261.660,0.961806
0.950,261.930,0.966063
0.960,261.674,0.961498
