time,frequency,confidence
0.000,456.877,0.857024
0.010,457.973,0.888922
0.020,457.840,0.913633
0.030,457.218,0.905686
0.040,455.916,0.900889
0.050,454.494,0.877261
0.060,452.951,0.909661
0.070,451.004,0.910413
0.080,449.346,0.885982
0.090,448.038,0.908339
0.100,446.490,0.910428
0.110,444.947,0.888341
0.120,443.651,0.904882
0.130,442.259,0.935804
0.140,440.671,0.940852
0.150,439.138,0.917581
0.160,437.479,0.915459
0.170,435.988,0.923003
0.180,434.277,0.899008
0.190,432.477,0.930304
0.200,430.978,0.934713
0.210,429.593,0.911981
0.220,428.022,0.925568
0.230,426.938,0.933297
0.240,425.511,0.914091
0.250,423.401,0.891994
0.260,421.276,0.901271
0.270,419.241,0.882142
0.280,417.440,0.919852
0.290,415.982,0.922422
0.300,414.832,0.902629
0.310,413.643,0.900912
0.320,412.047,0.926476
0.330,410.423,0.905804
0.340,408.598,0.901760
0.350,406.719,0.922124
0.360,404.968,0.904510
0.370,403.060,0.936588
0.380,401.343,0.924618
0.390,399.841,0.917782
0.400,398.938,0.943632
0.410,397.338,0.947899
0.420,395.717,0.911170
0.430,394.060,0.951184
0.440,392.520,0.952183
0.450,391.367,0.921364
0.460,390.008,0.949320
0.470,388.122,0.940835
0.480,386.333,0.904245
0.490,384.429,0.922532
0.500,382.544,0.884381
0.510,380.738,0.928024
0.520,379.522,0.924542
0.530,378.094,0.908158
0.540,376.482,0.933676
0.550,374.790,0.916419
0.560,372.993,0.895206
0.570,371.447,0.916573
0.580,370.092,0.902959
0.590,368.486,0.872914
0.600,366.589,0.892877
0.610,364.643,0.867726
0.620,362.875,0.923620
0.630,361.427,0.918830
0.640,359.645,0.912263
0.650,357.924,0.927317
0.660,356.322,0.902601
0.670,354.855,0.934161
0.680,353.463,0.931604
0.690,352.088,0.908494
0.700,350.769,0.937100
0.710,349.576,0.927683
0.720,348.430,0.890638
0.730,347.212,0.905290
0.740,345.564,0.916573
0.750,343.649,0.914230
0.760,341.473,0.914134
0.770,339.797,0.911450
0.780,338.038,0.919546
0.790,336.002,0.907100
0.800,334.570,0.944509
0.810,333.278,0.936656
0.820,331.972,0.936544
0.830,330.492,0.959569
0.840,329.021,0.924978
0.850,327.654,0.949351
0.860,325.968,0.939372
0.870,324.425,0.942856
0.880,323.178,0.956420
0.890,321.627,0.925422
0.900,319.618,0.937919
0.910,317.700,0.912924
0.920,315.919,0.939093
0.930,314.188,0.914614
0.940,312.802,0.950532
0.950,311.641,0.955811
0.960,310.543,0.937705
0.970,308.873,0.966980
0.980,307.092,0.951180
0.990,305.222,0.970993
1.000,303.645,0.947917
1.010,302.208,0.959966
1.020,300.517,0.934762
1.030,298.901,0.953910
1.040,297.402,0.949165
1.050,295.856,0.959702
1.060,294.239,0.961913
1.070,292.690,0.934903
1.080,291.350,0.957422
1.090,289.799,0.932394
1.100,287.898,0.960545
1.110,286.136,0.937818
1.120,284.645,0.972969
1.130,282.960,0.942101
1.140,280.989,0.943818
1.150,279.290,0.919279
1.160,277.780,0.946751
1.170,276.463,0.924923
1.180,275.281,0.954076
1.190,273.979,0.946625
1.200,272.206,0.948873
1.210,270.708,0.926697
1.220,268.606,0.962358
1.230,266.779,0.942604
1.240,265.076,0.948394
1.250,263.259,0.947742
1.260,261.817,0.956165
1.270,260.666,0.937368
1.280,259.358,0.956025
1.290,257.648,0.952905
1.300,256.408,0.967288
1.310,254.745,0.941762
1.320,253.151,0.963453
1.330,251.992,0.925140
1.340,250.083,0.934208
1.350,248.096,0.939022
1.360,246.238,0.925442
1.370,245.177,0.953576
1.380,243.952,0.933180
1.390,242.635,0.943602
1.400,241.160,0.891611
1.410,239.075,0.875707
1.420,237.392,0.859424
1.430,235.982,0.848237
1.440,233.993,0.890275
1.450,232.357,0.844949
1.460,230.685,0.845662
1.470,228.802,0.884292
1.480,227.664,0.855850
1.490,225.918,0.857997
1.500,224.049,0.886301
1.510,223.068,0.922247
1.520,221.796,0.869188
1.530,220.465,0.884664
1.540,219.026,0.793996
1.550,217.609,0.701241
1.560,218.628,0.398278
1.570,656.673,0.110807
1.580,1455.575,0.066445
1.590,281.058,0.053603
1.600,279.252,0.060710
1.610,206.099,0.102101
1.620,205.242,0.142259
1.630,203.815,0.214425
1.640,201.972,0.314425
1.650,200.564,0.435930
1.660,199.166,0.520029
1.670,197.504,0.594525
1.680,196.044,0.641981
1.690,194.638,0.723602
1.700,193.424,0.720685
1.710,191.830,0.747983
1.720,189.545,0.753906
1.730,187.280,0.833781
1.740,185.987,0.830848
1.750,184.761,0.841595
1.760,182.989,0.841048
1.770,181.408,0.782658
